# Data picked from file: ../../../yearly.png
1.976011806379318614e+03,1.044527025001616494e+02
1.977019923173614643e+03,4.634815199740196476e+02
1.978028039967910900e+03,5.048565881587392141e+02
1.979036156762206929e+03,5.168687047284968230e+02
1.980028521731592264e+03,5.075259473964631525e+02
1.981020886700977599e+03,5.355542193925634820e+02
1.982044755320184549e+03,6.143003169054170485e+02
1.983021368464658963e+03,6.570100647089986978e+02
1.984029485258954992e+03,6.823689774673750890e+02
1.985021850228340327e+03,6.730262201353416458e+02
1.985998463372814740e+03,6.983851328937182643e+02
1.987022331992021691e+03,7.838046285008813356e+02
1.987998945136496104e+03,7.944820654517768617e+02
1.989007061930792361e+03,7.838046285008813356e+02
1.990015178725088390e+03,8.024901431649482220e+02
1.991007543694473725e+03,6.143003169054170485e+02
1.991999908663859060e+03,8.238450170667392740e+02
1.992992273633244167e+03,7.077278902257519348e+02
1.994000390427540424e+03,7.651191138368144493e+02
1.994992755396925759e+03,9.546436197152077057e+02
1.996016624016132710e+03,8.905789980098352316e+02
1.997008988985518045e+03,8.198409782101532528e+02
1.997985602129992458e+03,8.692241241080446343e+02
1.998993718924288487e+03,9.359581050511408193e+02
2.000001835718584744e+03,1.056079270748714180e+03
2.000978448863058929e+03,9.506395808586219118e+02
2.002002317482266108e+03,1.022712280277165974e+03
2.002994682451651215e+03,1.074764785412780839e+03
2.003987047421036550e+03,1.605967273719827062e+03
2.004995164215332807e+03,2.085117256891257512e+03
2.005971777359807220e+03,1.890254032537416606e+03
2.006979894154103249e+03,1.880911275205383390e+03
2.007988010948399506e+03,1.796826459217082174e+03
2.008996127742695535e+03,1.792822420360496380e+03
2.009956989062259026e+03,1.832862808926353864e+03
